# Force and moment coefficients
# dragDir               : (9.9902800828979665e-01 4.4079912120170803e-02 0.0000000000000000e+00)
# sideDir               : (0.0000000000000000e+00 0.0000000000000000e+00 -1.0000000000000000e+00)
# liftDir               : (-4.4079912120170803e-02 9.9902800828979665e-01 0.0000000000000000e+00)
# rollAxis              : (9.9902800828979665e-01 4.4079912120170803e-02 0.0000000000000000e+00)
# pitchAxis             : (0.0000000000000000e+00 0.0000000000000000e+00 -1.0000000000000000e+00)
# yawAxis               : (-4.4079912120170803e-02 9.9902800828979665e-01 0.0000000000000000e+00)
# magUInf               : 2.4800000000000000e+02
# lRef                  : 1.0000000000000000e+00
# Aref                  : 1.0000000000000000e-02
# CofR                  : (2.5000000000000000e-01 0.0000000000000000e+00 0.0000000000000000e+00)
#
# Time                  	Cd                      	Cd(f)                   	Cd(r)                   	Cl                      	Cl(f)                   	Cl(r)                   	CmPitch                 	CmRoll                  	CmYaw                   	Cs                      	Cs(f)                   	Cs(r)                   
8212                    	1.4149621176561440e-02	3.5862136903009076e-03	1.0563407486260532e-02	6.9771938472640016e-01	2.5889405932891085e-01	4.3882532539748925e-01	-8.9965633034289186e-02	-3.4885968979798125e-03	7.0748179618825382e-05	-7.7488488047386958e-10	7.0747792176385137e-05	-7.0748567061265614e-05
8213                    	1.4152550229419584e-02	3.5875943254454227e-03	1.0564955903974160e-02	6.9773616298275132e-01	2.5889074104981752e-01	4.3884542193293380e-01	-8.9977340441558140e-02	-3.4886807892643692e-03	7.0762824813650835e-05	-7.7498444377423372e-10	7.0762437321428946e-05	-7.0763212305872725e-05
8214                    	1.4149404235647169e-02	3.5860983167315535e-03	1.0563305918915616e-02	6.9772076534895699e-01	2.5889538709197146e-01	4.3882537825698553e-01	-8.9964995582507007e-02	-3.4886038010920311e-03	7.0747094913579673e-05	-7.7489748148857926e-10	7.0746707464838926e-05	-7.0747482362320407e-05
8215                    	1.4152722271621638e-02	3.5876661290127755e-03	1.0565056142608862e-02	6.9773900648959930e-01	2.5889179171759613e-01	4.3884721477200317e-01	-8.9977711527203491e-02	-3.4886950067980435e-03	7.0763685024179620e-05	-7.7499677305630518e-10	7.0763297525793092e-05	-7.0764072522566147e-05
8216                    	1.4149630852362328e-02	3.5861998540909208e-03	1.0563430998271409e-02	6.9772311954871236e-01	2.5889643441352278e-01	4.3882668513518958e-01	-8.9965125360833384e-02	-3.4886155720902433e-03	7.0748227996771318e-05	-7.7490966551078043e-10	7.0747840541938574e-05	-7.0748615451604076e-05
8217                    	1.4152661915845261e-02	3.5876312637351721e-03	1.0565030652110089e-02	6.9773994396759609e-01	2.5889307566959519e-01	4.3884686829800085e-01	-8.9976896314202859e-02	-3.4886996941874584e-03	7.0763383244824913e-05	-7.7500905798029031e-10	7.0762995740295920e-05	-7.0763770749353907e-05
8218                    	1.4149546655485248e-02	3.5861510414605989e-03	1.0563395614024647e-02	6.9772446238718167e-01	2.5889766820740617e-01	4.3882679417977549e-01	-8.9964562986184674e-02	-3.4886222862820248e-03	7.0747807011873443e-05	-7.7492198788485722e-10	7.0747419550879504e-05	-7.0748194472867383e-05
8219                    	1.4152554201942006e-02	3.5875649313192189e-03	1.0564989270622788e-02	6.9774243906057309e-01	2.5889392641330494e-01	4.3884851264726815e-01	-8.9977293116981605e-02	-3.4887121696517845e-03	7.0762844674803082e-05	-7.7502135920078992e-10	7.0762457164123477e-05	-7.0763232185482673e-05
8220                    	1.4149455313530833e-02	3.5860930528789463e-03	1.0563362260651887e-02	6.9772692590818253e-01	2.5889849270170778e-01	4.3882843320647474e-01	-8.9964970252383508e-02	-3.4886346038864703e-03	7.0747350301526737e-05	-7.7493436601043745e-10	7.0746962834343738e-05	-7.0747737768709750e-05
8221                    	1.4152217823434808e-02	3.5873904354278017e-03	1.0564827388007007e-02	6.9774370038824773e-01	2.5889502457156521e-01	4.3884867581668258e-01	-8.9976825622558682e-02	-3.4887184762896020e-03	7.0761162781691279e-05	-7.7503371567908619e-10	7.0760775264833443e-05	-7.0761550298549116e-05
